ticker,asset_class,DRLC_gate_pass,mean_PDAIS_EW,mean_PDAIS_RF,mean_PDAIS_LF,std_PDAIS_EW,mean_LQ_raw
NEE,Equity,True,60.386119751263514,66.04220083257987,49.54800664579413,12.374615254729834,20.054479469262095
NEM,Equity,True,47.46645417452821,52.53017535216563,37.733465096724,12.426346023635158,19.63456118485625
NKE,Equity,True,57.83916976995878,61.10478644288078,51.00903992028623,12.31667073526722,20.35828968413153
NUE,Equity,True,35.695966923569195,40.81482020026392,25.116826325316865,9.835295163565185,19.048317619146065
NVDA,Equity,True,54.003322828817126,44.33631003513129,71.61196619149077,15.433404680749916,22.74189663181339
O,Equity,True,55.77167485154614,66.1127746703693,35.90952369702271,8.203135942611741,18.93366249277149
OXY,Equity,True,29.231509700071634,27.56278672491711,31.80993064235182,16.5049879682296,20.153947989113288
PLD,Equity,True,55.053000936943484,62.235888186284626,40.91035813173304,8.423628526207402,19.495179722731333
PSA,Equity,True,55.470500216853324,65.2939460875693,36.15348566255368,8.232829494975249,18.980076119347327
QCOM,Equity,True,50.69038304206173,51.23083552344485,49.315320706516935,12.342261760908709,20.62911540333769
SBUX,Equity,True,60.72923908837418,65.78139166929935,50.78482860510752,10.033825196287665,20.166161895683008
SHW,Equity,True,57.084642739696065,64.2634684994742,42.85785892823035,11.586843113012144,19.572418898692835
SLB,Equity,True,34.059568790793364,35.93910644756701,29.93684331744171,9.392164699954586,19.670204583820595
SO,Equity,True,61.919131242428115,71.78024256597699,42.64322161431585,6.452057899902313,19.25225893029639
T,Equity,True,65.84555735918151,71.32116352106827,55.358062539446706,13.656061707920164,20.313952674672887
TMUS,Equity,True,63.77757249108604,69.65132819540166,52.08680947682647,8.03533665747123,20.08853671808851
TRX-USD,Crypto,True,46.8548427351511,56.543217639710925,29.353022019920747,18.814664473548692,17.39475462824548
TTWO,Equity,True,43.58888352514066,50.11050432881002,30.7241611502501,14.172487997058576,19.147249462844588
UPS,Equity,True,57.91094361042006,63.933345831116185,46.0156917153304,10.182203617883939,19.835179039431498
USB,Equity,True,46.20632106869617,51.77886613101467,35.2104770282967,13.084401705849361,19.45617826531695
V,Equity,True,72.19840335597071,75.0849279183987,66.81260652716936,8.914004000984958,21.108315178939854
WFC,Equity,True,55.59982645061416,57.55499044560011,51.700887826820306,8.294941304100611,20.568414769744507
WMT,Equity,True,74.18705702387255,79.96817383148215,63.3060150532235,10.783086430019605,20.616655107868315
XLM-USD,Crypto,True,33.5441262532705,41.02398735521629,21.262990923451095,15.29686238167486,17.33136126337136
XOM,Equity,True,60.762519015755615,61.85166021862439,58.691524101478954,6.507107613182201,20.97593375048507
XRP-USD,Crypto,True,40.46575299680509,44.71496577618575,33.06428485891885,21.298361957709496,20.660028359854365
